time,prediction,verified
10/4/16 0:00,1.085,1.323
10/4/16 1:00,1.478,1.692
10/4/16 2:00,1.785,1.934
10/4/16 3:00,1.935,2.063
10/4/16 4:00,1.886,2.053
10/4/16 5:00,1.61,1.846
10/4/16 6:00,1.174,1.428
10/4/16 7:00,0.728,1.021
10/4/16 8:00,0.386,0.695
10/4/16 9:00,0.24,0.592
10/4/16 10:00,0.354,0.722
10/4/16 11:00,0.673,0.956
10/4/16 12:00,1.073,1.311
10/4/16 13:00,1.469,1.666
10/4/16 14:00,1.803,1.966
10/4/16 15:00,2.009,2.149
10/4/16 16:00,2.046,2.234
10/4/16 17:00,1.872,2.12
10/4/16 18:00,1.5,1.833
10/4/16 19:00,1.048,1.499
10/4/16 20:00,0.644,1.15
10/4/16 21:00,0.377,0.909
10/4/16 22:00,0.333,0.834
10/4/16 23:00,0.525,0.955
10/5/16 0:00,0.853,1.256
10/5/16 1:00,1.221,1.644
10/5/16 2:00,1.565,1.935
10/5/16 3:00,1.807,2.154
10/5/16 4:00,1.885,2.248
10/5/16 5:00,1.758,2.177
10/5/16 6:00,1.423,1.936
10/5/16 7:00,0.981,1.631
10/5/16 8:00,0.589,1.327
10/5/16 9:00,0.345,1.061
10/5/16 10:00,0.31,0.933
10/5/16 11:00,0.507,0.988
10/5/16 12:00,0.853,1.228
10/5/16 13:00,1.232,1.576
10/5/16 14:00,1.586,1.872
10/5/16 15:00,1.864,2.109
10/5/16 16:00,2.006,2.323
10/5/16 17:00,1.973,2.38
10/5/16 18:00,1.735,2.24
10/5/16 19:00,1.336,1.942
10/5/16 20:00,0.912,1.611
10/5/16 21:00,0.578,1.262
10/5/16 22:00,0.4,1.016
10/5/16 23:00,0.435,0.953
10/6/16 0:00,0.664,1.128
10/6/16 1:00,0.985,1.443
10/6/16 2:00,1.321,1.753
10/6/16 3:00,1.62,1.998
10/6/16 4:00,1.804,2.162
10/6/16 5:00,1.815,2.247
10/6/16 6:00,1.623,2.128
10/6/16 7:00,1.252,1.882
10/6/16 8:00,0.831,1.613
10/6/16 9:00,0.51,1.341
10/6/16 10:00,0.356,1.173
10/6/16 11:00,0.403,1.13
10/6/16 12:00,0.649,1.229
10/6/16 13:00,0.996,1.462
10/6/16 14:00,1.349,1.775
10/6/16 15:00,1.665,2.042
10/6/16 16:00,1.895,2.272
10/6/16 17:00,1.98,2.418
10/6/16 18:00,1.888,2.44
10/6/16 19:00,1.606,2.3
10/6/16 20:00,1.203,2.048
10/6/16 21:00,0.823,1.77
10/6/16 22:00,0.555,1.508
10/6/16 23:00,0.444,1.277
10/7/16 0:00,0.528,1.202
10/7/16 1:00,0.772,1.318
10/7/16 2:00,1.08,1.566
10/7/16 3:00,1.393,1.884
10/7/16 4:00,1.655,2.103
10/7/16 5:00,1.787,2.277
10/7/16 6:00,1.741,2.342
10/7/16 7:00,1.502,2.261
10/7/16 8:00,1.119,2.012
10/7/16 9:00,0.736,1.746
10/7/16 10:00,0.48,1.577
10/7/16 11:00,0.39,1.473
10/7/16 12:00,0.488,1.417
10/7/16 13:00,0.755,1.5
10/7/16 14:00,1.095,1.787
10/7/16 15:00,1.428,2.112
10/7/16 16:00,1.718,2.454
10/7/16 17:00,1.908,2.8
10/7/16 18:00,1.947,3.069
10/7/16 19:00,1.812,3.241
10/7/16 20:00,1.504,3.234
10/7/16 21:00,1.115,3.08
10/7/16 22:00,0.776,2.896
10/7/16 23:00,0.552,2.622
10/8/16 0:00,0.477,2.32
10/8/16 1:00,0.589,2.035
10/8/16 2:00,0.841,1.809
10/8/16 3:00,1.146,1.627
10/8/16 4:00,1.446,1.554
10/8/16 5:00,1.679,1.591
10/8/16 6:00,1.769,1.694
10/8/16 7:00,1.68,1.656
10/8/16 8:00,1.414,1.478
10/8/16 9:00,1.036,1.279
10/8/16 10:00,0.691,0.94
10/8/16 11:00,0.477,0.655
10/8/16 12:00,0.418,0.479
10/8/16 13:00,0.539,0.407
10/8/16 14:00,0.817,0.589
10/8/16 15:00,1.154,0.95
10/8/16 16:00,1.48,1.35
10/8/16 17:00,1.755,1.671
10/8/16 18:00,1.916,1.86
10/8/16 19:00,1.923,1.945
10/8/16 20:00,1.761,1.854
10/8/16 21:00,1.443,1.607
10/8/16 22:00,1.067,1.244
10/8/16 23:00,0.748,0.906
10/9/16 0:00,0.538,0.64
10/9/16 1:00,0.48,0.529
10/9/16 2:00,0.612,0.665
10/9/16 3:00,0.879,0.96
10/9/16 4:00,1.192,1.295
10/9/16 5:00,1.491,1.597
10/9/16 6:00,1.704,1.858
10/9/16 7:00,1.764,1.939
10/9/16 8:00,1.652,1.84
10/9/16 9:00,1.373,1.554
10/9/16 10:00,1.003,1.192
10/9/16 11:00,0.675,0.938
10/9/16 12:00,0.47,0.747
10/9/16 13:00,0.417,0.687
10/9/16 14:00,0.55,0.846
10/9/16 15:00,0.839,1.148
10/9/16 16:00,1.185,1.447
10/9/16 17:00,1.516,1.722
10/9/16 18:00,1.785,1.935
10/9/16 19:00,1.93,2.081
10/9/16 20:00,1.921,2.097
10/9/16 21:00,1.746,1.942
10/9/16 22:00,1.419,1.652
10/9/16 23:00,1.039,1.291